web-scraper-order,web-scraper-start-url,nama,komentar
"1583431904-4384","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","","Kecewa, baru kali ini diturunin driver gocar. Karna kata driver titik lokasi tidak sesuai, padahal jelas-jelas di hp saya titiknya pas dan di tulis pula keterangannya jemput dimana digang berapa dan keterangan lainnya. Driver lama jemputnya padahal sudah di depan gang tapi seakan sengaja membuat men...Ulasan Lengkap"
"1583431904-2427","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","Ery Fernanda",""
"1583431904-4603","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","","Gojek gak jelas, saya tadi dapet voucher, eh pas sampe rumah mau order go food udah gak ada, padahal vouchernya hangus 7 hari kedepan."
"1583431904-1286","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","Srimeda Permana",""
"1583431904-2266","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","Tri Setiyono",""
"1583431904-2101","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","Ida Rowaida",""
"1583431904-4719","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","","Ga tau kenapa mendadak ga bisa dibuka, di update udah, di uninstall terus di install ulang juga udah. Ya udah kyk nya ga pake ini lagi, ke aplikasi sebelah aja..."
"1583431904-6886","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","","Mana promo menariknya, driver makin sepi orderan kalah sama ojol sebelah........ Harusnya kasih promo yg bagus biar banyak customer yg mengunakan gojek....... Pendapatan driver gojek menurun krn gak imbang antara yg order sm driverny..."
"1583431904-6800","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","","Gojek apa bangkrut seh? Klo bangkrut ya sklian aja lah kukut, biar sklian yg uninstal, toh ijo sebelah lebih menggiurkan promo"" ny"
"1583431904-7321","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","","Hallooo gojek, barcode garis d aplikasiq masih tdk muncul, Pembaruan teruuuus, tapi zooonk terus. Gimana nie? Halooo... T_T"
"1583431904-2198","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","Dedeeewww wut",""
"1583431904-3986","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","faora _nie",""
"1583431904-2682","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","Sis Anto",""
"1583431904-4992","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","","Argo yang tidak manusiawi,bonus yg tdk mungkin di kejar,gimana kejar 16 trip klo nunggu order 2 jam."
